Compiler,Library,C,Method,Seconds,Ratio
Mingw-g++-13.1.0,std,deque n:60000000,insert,0.200,1.000
Mingw-g++-13.1.0,std,deque n:60000000,erase,0.067,1.000
Mingw-g++-13.1.0,std,deque n:60000000,access,0.279,1.000
Mingw-g++-13.1.0,std,deque n:60000000,iter,0.195,1.000
Mingw-g++-13.1.0,std,deque n:60000000,destruct,0.085,1.000
Mingw-g++-13.1.0,std,deque n:60000000,total,0.826,1.000
Mingw-g++-13.1.0,STC,deque n:60000000,insert,0.166,0.830
Mingw-g++-13.1.0,STC,deque n:60000000,erase,0.009,0.134
Mingw-g++-13.1.0,STC,deque n:60000000,access,0.075,0.269
Mingw-g++-13.1.0,STC,deque n:60000000,iter,0.081,0.415
Mingw-g++-13.1.0,STC,deque n:60000000,destruct,0.012,0.141
Mingw-g++-13.1.0,STC,deque n:60000000,total,0.343,0.415
Mingw-g++-13.1.0,std,forward_list n:10000000,insert,0.276,1.000
Mingw-g++-13.1.0,std,forward_list n:10000000,erase,0.184,1.000
Mingw-g++-13.1.0,std,forward_list n:10000000,access,0.000,1.000
Mingw-g++-13.1.0,std,forward_list n:10000000,iter,0.223,1.000
Mingw-g++-13.1.0,std,forward_list n:10000000,destruct,0.185,1.000
Mingw-g++-13.1.0,std,forward_list n:10000000,total,0.868,1.000
Mingw-g++-13.1.0,STC,forward_list n:10000000,insert,0.270,0.978
Mingw-g++-13.1.0,STC,forward_list n:10000000,erase,0.185,1.005
Mingw-g++-13.1.0,STC,forward_list n:10000000,access,0.000,1.000
Mingw-g++-13.1.0,STC,forward_list n:10000000,iter,0.227,1.018
Mingw-g++-13.1.0,STC,forward_list n:10000000,destruct,0.180,0.973
Mingw-g++-13.1.0,STC,forward_list n:10000000,total,0.862,0.993
Mingw-g++-13.1.0,std,unordered_map n:2000000,insert,0.295,1.000
Mingw-g++-13.1.0,std,unordered_map n:2000000,erase,0.241,1.000
Mingw-g++-13.1.0,std,unordered_map n:2000000,access,0.068,1.000
Mingw-g++-13.1.0,std,unordered_map n:2000000,iter,0.311,1.000
Mingw-g++-13.1.0,std,unordered_map n:2000000,destruct,0.114,1.000
Mingw-g++-13.1.0,std,unordered_map n:2000000,total,1.029,1.000
Mingw-g++-13.1.0,STC,unordered_map n:2000000,insert,0.109,0.369
Mingw-g++-13.1.0,STC,unordered_map n:2000000,erase,0.036,0.149
Mingw-g++-13.1.0,STC,unordered_map n:2000000,access,0.028,0.412
Mingw-g++-13.1.0,STC,unordered_map n:2000000,iter,0.024,0.077
Mingw-g++-13.1.0,STC,unordered_map n:2000000,destruct,0.002,0.018
Mingw-g++-13.1.0,STC,unordered_map n:2000000,total,0.199,0.193
Mingw-g++-13.1.0,std,map n:1000000,insert,0.162,1.000
Mingw-g++-13.1.0,std,map n:1000000,erase,0.145,1.000
Mingw-g++-13.1.0,std,map n:1000000,access,0.264,1.000
Mingw-g++-13.1.0,std,map n:1000000,iter,0.131,1.000
Mingw-g++-13.1.0,std,map n:1000000,destruct,0.047,1.000
Mingw-g++-13.1.0,std,map n:1000000,total,0.749,1.000
Mingw-g++-13.1.0,STC,map n:1000000,insert,0.257,1.586
Mingw-g++-13.1.0,STC,map n:1000000,erase,0.187,1.290
Mingw-g++-13.1.0,STC,map n:1000000,access,0.181,0.686
Mingw-g++-13.1.0,STC,map n:1000000,iter,0.019,0.145
Mingw-g++-13.1.0,STC,map n:1000000,destruct,0.004,0.085
Mingw-g++-13.1.0,STC,map n:1000000,total,0.648,0.865
Mingw-g++-13.1.0,std,vector n:60000000,insert,0.195,1.000
Mingw-g++-13.1.0,std,vector n:60000000,erase,0.000,1.000
Mingw-g++-13.1.0,std,vector n:60000000,access,0.017,1.000
Mingw-g++-13.1.0,std,vector n:60000000,iter,0.060,1.000
Mingw-g++-13.1.0,std,vector n:60000000,destruct,0.012,1.000
Mingw-g++-13.1.0,std,vector n:60000000,total,0.284,1.000
Mingw-g++-13.1.0,STC,vector n:60000000,insert,0.159,0.815
Mingw-g++-13.1.0,STC,vector n:60000000,erase,0.000,1.000
Mingw-g++-13.1.0,STC,vector n:60000000,access,0.017,1.000
Mingw-g++-13.1.0,STC,vector n:60000000,iter,0.060,1.000
Mingw-g++-13.1.0,STC,vector n:60000000,destruct,0.012,1.000
